"Sep=;"
Clase;Grupo;"Cuenta Mayor";Auxiliar;"Sub cuentas del Aux";"Sub cuentas de sub cuenta Aux";Clasificación;"Nombre de la Cuenta";"Modelo Anclado";"Id Anclado"
1;0;0;000;00;00;Clase;ACTIVO;;
1;1;0;000;00;00;Grupo;"Activo Corriente";;
1;1;1;000;00;00;"Cuenta Mayor";Caja;;
1;1;1;001;00;00;Auxiliar;"Caja Tienda KM motos";organization_company;"KM MOTOS"
1;1;1;001;01;00;"Sub cuentas del Aux";"KM MOTOS COMAYAGUA";accounts;"KM MOTOS COMAYAGUA"
1;1;1;001;02;00;"Sub cuentas del Aux";"KM MOTOS COMAYAGÜELA";accounts;"KM MOTOS COMAYAGÜELA"
1;1;1;001;03;00;"Sub cuentas del Aux";"KM MOTOS JUTICALPA";accounts;"KM MOTOS JUTICALPA"
1;1;1;001;04;00;"Sub cuentas del Aux";"KM MOTOS CATACAMAS - OLANCHO";accounts;"KM MOTOS CATACAMAS - OLANCHO"
1;1;1;001;05;00;"Sub cuentas del Aux";"KM MOTOS CATACAMAS 2";accounts;"KM MOTOS CATACAMAS 2"
1;1;1;001;06;00;"Sub cuentas del Aux";"KM MOTOS - LA PAZ";accounts;"KM MOTOS - LA PAZ"
1;1;1;001;07;00;"Sub cuentas del Aux";"KM MOTOS GUALACO";accounts;"KM MOTOS GUALACO"
1;1;1;001;08;00;"Sub cuentas del Aux";"KM MOTOS CULMI";accounts;"KM MOTOS CULMI"
1;1;1;001;09;00;"Sub cuentas del Aux";"KM MOTOS SPS #1";accounts;"KM MOTOS SPS #1"
1;1;1;001;10;00;"Sub cuentas del Aux";"KM MOTOS SPS 2";accounts;"KM MOTOS SPS 2"
1;1;1;001;11;00;"Sub cuentas del Aux";"KM MOTOS JUTIAPA";accounts;"KM MOTOS JUTIAPA"
1;1;1;001;12;00;"Sub cuentas del Aux";"KM MOTOS - TOROCAGUA";accounts;"KM MOTOS - TOROCAGUA"
1;1;1;001;13;00;"Sub cuentas del Aux";"KM MOTOS TELA";accounts;"KM MOTOS TELA"
1;1;1;001;14;00;"Sub cuentas del Aux";"KM MOTOS EL PROGRESO";accounts;"KM MOTOS EL PROGRESO"
1;1;1;001;15;00;"Sub cuentas del Aux";"KM MOTOS TOCOA";accounts;"KM MOTOS TOCOA"
1;1;1;001;16;00;"Sub cuentas del Aux";"KM MOTOS PEÑA BLANCA";accounts;"KM MOTOS PEÑA BLANCA"
1;1;1;001;17;00;"Sub cuentas del Aux";"KM MOTOS SABA";accounts;"KM MOTOS SABA"
1;1;1;001;18;00;"Sub cuentas del Aux";"KM MOTOS - COUNTRY TEGUS";accounts;"KM MOTOS - COUNTRY TEGUS"
1;1;1;001;19;00;"Sub cuentas del Aux";"KM MOTOS - EL PROGRESO 2";accounts;"KM MOTOS - EL PROGRESO 2"
1;1;1;001;20;00;"Sub cuentas del Aux";"KM MOTOS - SPS 3";accounts;"GRUPO KM MOTOS - SPS 3"
1;1;1;001;21;00;"Sub cuentas del Aux";"KM MOTOS JUTICALPA 2";accounts;"GRUPO KM MOTOS  - JUTICALPA 2"
1;1;1;001;22;00;"Sub cuentas del Aux";SAC;;
1;1;1;002;00;00;Auxiliar;"Caja Tienda MOTOREPUESTOS TODO EN UNO";organization_company;"MOTOREPUESTOS TODO EN UNO"
1;1;1;002;01;00;"Sub cuentas del Aux";"COMAYAGUA 2 - ALL IN ONE";accounts;"COMAYAGUA 2 - ALL IN ONE"
1;1;1;002;02;00;"Sub cuentas del Aux";"KM COMAYAGUA 4 - ALL IN ONE";accounts;"KM COMAYAGUA 4 - ALL IN ONE"
1;1;1;002;03;00;"Sub cuentas del Aux";"KM MOTOS COMAYAGUA #5";accounts;"KM MOTOS COMAYAGUA #5"
1;1;1;002;04;00;"Sub cuentas del Aux";"KM MOTOS COMAYAGUA #6";accounts;"KM MOTOS COMAYAGUA #6"
1;1;1;002;05;00;"Sub cuentas del Aux";"Comayagua 7";;
1;1;1;002;06;00;"Sub cuentas del Aux";"ALL IN ONE - CHOLUTECA";accounts;"ALL IN ONE - CHOLUTECA "
1;1;1;002;07;00;"Sub cuentas del Aux";"KM MOTOS SIGUATEPEQUE #1";accounts;"KM MOTOS SIGUATEPEQUE #1"
1;1;1;002;08;00;"Sub cuentas del Aux";"KM MOTOS SAN LORENZO";accounts;"KM MOTOS SAN LORENZO"
1;1;1;002;09;00;"Sub cuentas del Aux";"KM MOTOS LA ESPERANZA #1";accounts;"KM MOTOS LA ESPERANZA #1"
1;1;1;002;10;00;"Sub cuentas del Aux";"KM MOTOS - SANTA ROSA";accounts;"KM MOTOS - SANTA ROSA"
1;1;1;002;11;00;"Sub cuentas del Aux";"KM MOTOS - SANTA BARBARA";accounts;"KM MOTOS - SANTA BARBARA"
1;1;1;002;12;00;"Sub cuentas del Aux";"KM MOTOS - TALANGA";accounts;"KM MOTOS - TALANGA"
1;1;1;002;13;00;"Sub cuentas del Aux";"KM MOTOS - AZACUALPA SANTA BARBARA";accounts;"KM MOTOS - AZACUALPA SANTA BARBARA"
1;1;1;002;14;00;"Sub cuentas del Aux";"KM MOTOS - LAS VEGAS SANTA BARBARA";accounts;"KM MOTOS - LAS VEGAS SANTA BARBARA"
1;1;1;002;15;00;"Sub cuentas del Aux";"KM MOTOS - SIGUATEPEQUE #2";accounts;"KM MOTOS - SIGUATEPEQUE #2"
1;1;1;002;16;00;"Sub cuentas del Aux";"KM MOTOS - LA ESPERANZA #2";accounts;"KM MOTOS - LA ESPERANZA #2"
1;1;1;002;17;00;"Sub cuentas del Aux";"KM MOTOS - CHOLUTECA 2";accounts;"KM MOTOS - CHOLUTECA 2"
1;1;1;002;18;00;"Sub cuentas del Aux";"KM MOTOS - CHOLUTECA 3";accounts;"KM MOTOS - CHOLUTECA 3"
1;1;1;002;19;00;"Sub cuentas del Aux";"KM MOTOS - SANTA ROSA COPAN #2";accounts;"GRUPO TODO EN UNO HN - SANTA ROSA COPAN #2"
1;1;1;002;20;00;"Sub cuentas del Aux";"KM MOTOS - TAULABE";accounts;"GRUPO TODO EN UNO HN - TAULABE"
1;1;1;002;21;00;"Sub cuentas del Aux";"KM MOTOS - JESUS DE OTORO";accounts;"KM MOTOS - JESUS DE OTORO"
1;1;1;002;22;00;"Sub cuentas del Aux";"KM MOTOS - SAN MARCOS";accounts;"GRUPO KM CARS HN - SAN MARCOS DE OCOTEPEQUE"
1;1;1;002;23;00;"Sub cuentas del Aux";"KM MOTOS - SIGUATEPEQUE #3";accounts;"GRUPO TODO EN UNO HN - SIGUATEPEQUE #3"
1;1;1;002;24;00;"Sub cuentas del Aux";"KM MOTO - QUIMISTAN";accounts;"GRUPO TODO EN UNO HN - QUIMISTAN"
1;1;1;003;00;00;Auxiliar;"Caja Tienda KM CARS";organization_company;"KM CARS"
1;1;1;003;01;00;"Sub cuentas del Aux";"KM MOTOS - COMAYAGUA #3";accounts;"KM MOTOS - COMAYAGUA #3"
1;1;1;003;02;00;"Sub cuentas del Aux";"KM MOTOS - LA CUESTA #1";accounts;"KM MOTOS - LA CUESTA #1"
1;1;1;003;03;00;"Sub cuentas del Aux";"KM MOTOS LA LIBERTAD";accounts;"KM MOTOS LA LIBERTAD"
1;1;1;003;04;00;"Sub cuentas del Aux";"KM MOTOS - ENTRADA COPAN";accounts;"KM MOTOS - ENTRADA COPAN"
1;1;1;003;05;00;"Sub cuentas del Aux";"KM MOTOS GRACIAS LEMPIRA";accounts;"KM MOTOS GRACIAS LEMPIRA"
1;1;1;003;06;00;"Sub cuentas del Aux";"KM MOTOS - MARCALA #1";accounts;"KM MOTOS - MARCALA #1"
1;1;1;003;07;00;"Sub cuentas del Aux";"KM MOTOS DANLI";accounts;"KM MOTOS DANLI"
1;1;1;003;08;00;"Sub cuentas del Aux";"KM MOTOS EL PARAISO";accounts;"KM MOTOS EL PARAISO"
1;1;1;003;09;00;"Sub cuentas del Aux";"KM MOTOS PUERTO CORTES";accounts;"KM MOTOS PUERTO CORTES"
1;1;1;003;10;00;"Sub cuentas del Aux";"KM MOTOS CHOLOMA";accounts;"KM MOTOS CHOLOMA"
1;1;1;003;11;00;"Sub cuentas del Aux";"KM MOTOS - VILLANUEVA";accounts;"KM MOTOS - VILLANUEVA"
1;1;1;003;12;00;"Sub cuentas del Aux";"KM MOTOS LA CEIBA";accounts;"KM MOTOS LA CEIBA"
1;1;1;003;13;00;"Sub cuentas del Aux";"KM MOTOS - MARCALA 2";accounts;"KM MOTOS - MARCALA 2"
1;1;1;003;14;00;"Sub cuentas del Aux";"KM MOTOS - LA ENTRADA #2";accounts;"KM MOTOS - LA ENTRADA #2"
1;1;1;003;15;00;"Sub cuentas del Aux";"KM MOTOS - YORO, YORO";accounts;"KM MOTOS - YORO, YORO"
1;1;1;003;16;00;"Sub cuentas del Aux";"KM MOTOS - MORAZAN YORO";accounts;"KM MOTOS - MORAZAN YORO"
1;1;1;003;17;00;"Sub cuentas del Aux";"KM MOTOS - SANTA CRUZ DE YOJOA";accounts;"KM MOTOS - SANTA CRUZ DE YOJOA"
1;1;1;003;18;00;"Sub cuentas del Aux";"KM MOTOS - LA CUESTA #2";accounts;"KM MOTOS - LA CUESTA #2"
1;1;1;003;19;00;"Sub cuentas del Aux";"KM MOTOS - TROJES";accounts;"GRUPO KM CARS HN - TROJES"
1;1;1;003;20;00;"Sub cuentas del Aux";"KM MOTOS SAN JUAN";accounts;"GRUPO TODO EN UNO HN - SAN JUAN "
1;1;1;003;21;00;"Sub cuentas del Aux";"KM MOTOS - DANLI 2";accounts;"GRUPO KM CARS HN - DANLI 2"
1;1;1;003;22;00;"Sub cuentas del Aux";"KM MOTOS - LEPAERA";accounts;"GRUPO KM CARS HN - LEPAERA"
1;1;1;001;00;00;Auxiliar;"Caja Chica";;
1;1;1;002;00;00;Auxiliar;"Caja General";;
1;1;2;000;00;00;"Cuenta Mayor";Bancos;;
1;1;2;001;00;00;Auxiliar;"Banco Atantida";;
1;1;2;001;01;00;"Sub cuentas del Aux";"Osman Roberto Garrido Banegas (Lempiras) - 120520068202";;
1;1;2;001;02;00;"Sub cuentas del Aux";"Rossy Marilin Cardenas Lopez (Lempiras) - 120520110053";;
1;1;2;001;03;00;"Sub cuentas del Aux";"Osbin Josue Garrido Banegas (Lempiras) - 120520148533";;
1;1;2;001;04;00;"Sub cuentas del Aux";"Osman Roberto Garrido Banegas (Dolares) - 120120249269";;
1;1;2;002;00;00;Auxiliar;"Banco Azteca";;
1;1;2;002;01;00;"Sub cuentas del Aux";"Osman Roberto Garrido Banegas (Lempiras) - 75080104256826";;
1;1;2;002;02;00;"Sub cuentas del Aux";"Rossy Marilin Cardenas Lopez (Lempiras) - 77860107221984";;
1;1;2;002;03;00;"Sub cuentas del Aux";"Osbin Josue Garrido Banegas (Lempiras) - 77860113320711";;
1;1;2;003;00;00;Auxiliar;"Banco Occidente";;
1;1;2;003;01;00;"Sub cuentas del Aux";"Osman Roberto Garrido Banegas (Lempiras) - 217010454710";;
1;1;2;003;02;00;"Sub cuentas del Aux";"Rossy Marilin Cardenas Lopez (Lempiras) - 214300038685";;
1;1;2;003;03;00;"Sub cuentas del Aux";"Osbin Josue Garrido Banegas (Lempiras) - 217010529710";;
1;1;2;003;04;00;"Sub cuentas del Aux";"Rossy Marilin Cardenas Lopez (Dolares) - 214300038685";;
1;1;2;004;00;00;Auxiliar;"BAC Credomatic";;
1;1;2;004;01;00;"Sub cuentas del Aux";"Osman Roberto Garrido Banegas (Lempiras) - 740518501";;
1;1;2;004;02;00;"Sub cuentas del Aux";"Rossy Marilin Cardenas Lopez (Lempiras) - 741833011";;
1;1;2;004;03;00;"Sub cuentas del Aux";"Osbin Josue Garrido Banegas (Lempiras) - 745979781";;
1;1;2;004;04;00;"Sub cuentas del Aux";"KM MOTO S. DE R.L DE C.V. (Lempiras) - 1487408";;
1;1;2;004;05;00;"Sub cuentas del Aux";"Osman Roberto Garrido Banegas (Lempiras) - 742478961";;
1;1;2;005;00;00;Auxiliar;"Tigo Money";;
1;1;2;005;01;00;"Sub cuentas del Aux";"Osman Roberto Garrido Banegas (Lempiras) - 3326-4857";;
1;1;2;005;02;00;"Sub cuentas del Aux";"Rossy Marilin Cardenas Lopez (Lempiras) - 9977-1867";;
1;1;2;005;03;00;"Sub cuentas del Aux";"Osbin Josue Garrido Banegas (Lempiras) - 9438-2083";;
1;1;2;006;00;00;Auxiliar;Banrural;;
1;1;2;006;01;00;"Sub cuentas del Aux";"Osman Roberto Garrido Banegas (Lempiras) - 34110087889";;
